method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
eagle3,1,1,3.9810,512,128.61
eagle3,1,2,3.6185,512,141.49
eagle3,1,3,4.6426,512,110.28
eagle3,1,4,2.6572,512,192.69
eagle3,1,5,2.6048,512,196.56
eagle3,1,6,4.7759,512,107.21
eagle3,1,7,2.3656,512,216.44
eagle3,1,8,4.2661,512,120.02
eagle3,1,9,3.8087,512,134.43
eagle3,1,10,1.5080,512,339.52
eagle3,1,11,3.6861,512,138.90
eagle3,1,12,4.8088,512,106.47
eagle3,1,13,4.5147,512,113.41
eagle3,1,14,2.1301,512,240.36
eagle3,1,15,4.5145,512,113.41
eagle3,1,16,4.5067,512,113.61
eagle3,1,17,4.5952,512,111.42
eagle3,1,18,2.3544,512,217.47
eagle3,1,19,1.7789,512,287.83
eagle3,1,20,3.7727,512,135.71
eagle3,1,21,1.7084,512,299.70
eagle3,1,22,1.6325,512,313.63
eagle3,1,23,4.0022,512,127.93
eagle3,1,24,3.3371,512,153.43
eagle3,1,25,3.3805,512,151.46
eagle3,1,26,2.0692,512,247.44
eagle3,1,27,2.6086,512,196.27
eagle3,1,28,3.5191,512,145.49
eagle3,1,29,3.9820,512,128.58
eagle3,1,30,3.6612,512,139.85
eagle3,1,31,2.4571,512,208.38
eagle3,1,32,3.5888,512,142.67
eagle3,1,33,3.4547,512,148.20
eagle3,1,34,3.4564,512,148.13
eagle3,1,35,3.6860,512,138.90
eagle3,1,36,3.8336,512,133.55
eagle3,1,37,3.6584,512,139.95
eagle3,1,38,2.6281,512,194.82
eagle3,1,39,3.4726,512,147.44
eagle3,1,40,2.9174,512,175.50
eagle3,1,41,2.1254,512,240.89
eagle3,1,42,3.2919,512,155.53
eagle3,1,43,4.1826,512,122.41
eagle3,1,44,2.1014,512,243.65
eagle3,1,45,2.5692,512,199.28
eagle3,1,46,2.8519,512,179.53
eagle3,1,47,3.3815,512,151.41
eagle3,1,48,1.9553,512,261.85
eagle3,1,49,3.7419,512,136.83
eagle3,1,50,1.5657,512,327.00
eagle3,1,51,2.9227,512,175.18
eagle3,1,52,4.6119,512,111.02
eagle3,1,53,3.2944,512,155.41
eagle3,1,54,4.6629,512,109.80
eagle3,1,55,2.0180,512,253.71
eagle3,1,56,3.7129,512,137.90
eagle3,1,57,3.6685,512,139.57
eagle3,1,58,4.0924,512,125.11
eagle3,1,59,2.8934,512,176.96
eagle3,1,60,4.6033,512,111.23
eagle3,1,61,3.9279,512,130.35
eagle3,1,62,3.7884,512,135.15
eagle3,1,63,2.2310,512,229.50
eagle3,1,64,4.3115,512,118.75
eagle3,1,65,4.0428,512,126.64
eagle3,1,66,4.5112,512,113.50
eagle3,1,67,3.3691,512,151.97
eagle3,1,68,4.3425,512,117.91
eagle3,1,69,1.9035,512,268.98
eagle3,1,70,3.9692,512,128.99
eagle3,1,71,4.2965,512,119.17
eagle3,1,72,5.1551,512,99.32
eagle3,1,73,4.1393,512,123.69
eagle3,1,74,4.7526,512,107.73
eagle3,1,75,4.0839,512,125.37
eagle3,1,76,4.1093,512,124.60
eagle3,1,77,4.7772,512,107.18
eagle3,1,78,4.5617,512,112.24
eagle3,1,79,4.4441,512,115.21
