method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
baseline,4,1,5.6498,2048,362.49
baseline,4,2,5.6491,2048,362.54
baseline,4,3,5.6546,2048,362.19
baseline,4,4,5.6151,2048,364.73
baseline,4,5,5.6116,2048,364.96
baseline,4,6,5.6198,2048,364.43
baseline,4,7,5.6207,2048,364.37
baseline,4,8,5.6159,2048,364.68
baseline,4,9,5.6146,2048,364.77
baseline,4,10,5.6159,2048,364.68
baseline,4,11,5.6122,2048,364.92
baseline,4,12,5.6184,1919,341.56
baseline,4,13,5.6556,2048,362.12
baseline,4,14,5.6576,2041,360.75
baseline,4,15,5.6153,2048,364.72
baseline,4,16,5.6174,2048,364.58
baseline,4,17,5.6154,2048,364.71
baseline,4,18,5.6156,2048,364.70
baseline,4,19,5.6130,2048,364.87
