method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
baseline,1,1,5.3480,512,95.74
baseline,1,2,5.3494,512,95.71
baseline,1,3,5.3678,512,95.38
baseline,1,4,5.3337,512,95.99
baseline,1,5,5.3331,512,96.00
baseline,1,6,5.3360,512,95.95
baseline,1,7,5.3438,512,95.81
baseline,1,8,5.3504,512,95.69
baseline,1,9,5.3697,512,95.35
baseline,1,10,5.3355,512,95.96
baseline,1,11,5.3594,512,95.53
baseline,1,12,5.3679,512,95.38
baseline,1,13,5.3504,512,95.69
baseline,1,14,5.3545,512,95.62
baseline,1,15,5.3588,512,95.54
baseline,1,16,5.3562,512,95.59
baseline,1,17,5.3466,512,95.76
baseline,1,18,5.3447,512,95.80
baseline,1,19,5.3656,512,95.42
baseline,1,20,5.3586,512,95.55
baseline,1,21,5.3534,512,95.64
baseline,1,22,5.3312,512,96.04
baseline,1,23,5.3396,512,95.89
baseline,1,24,5.3909,512,94.97
baseline,1,25,5.3541,512,95.63
baseline,1,26,5.3318,512,96.03
baseline,1,27,5.3445,512,95.80
baseline,1,28,5.3481,512,95.74
baseline,1,29,5.3529,512,95.65
baseline,1,30,5.3534,512,95.64
baseline,1,31,5.3583,512,95.55
baseline,1,32,5.3465,512,95.76
baseline,1,33,5.3318,512,96.03
baseline,1,34,5.3518,512,95.67
baseline,1,35,5.3355,512,95.96
baseline,1,36,5.3408,512,95.87
baseline,1,37,5.3458,512,95.78
baseline,1,38,5.3495,512,95.71
baseline,1,39,5.3394,512,95.89
baseline,1,40,5.3309,512,96.04
baseline,1,41,5.3289,512,96.08
baseline,1,42,5.3472,512,95.75
baseline,1,43,5.3832,512,95.11
baseline,1,44,5.3333,512,96.00
baseline,1,45,5.3322,512,96.02
baseline,1,46,5.3338,512,95.99
baseline,1,47,5.3508,512,95.69
baseline,1,48,5.3680,512,95.38
baseline,1,49,5.3313,512,96.04
baseline,1,50,5.0707,484,95.45
baseline,1,51,5.3708,512,95.33
baseline,1,52,5.4161,512,94.53
baseline,1,53,5.3873,512,95.04
baseline,1,54,5.3636,512,95.46
baseline,1,55,5.3972,512,94.86
baseline,1,56,5.3755,512,95.25
baseline,1,57,5.3947,512,94.91
baseline,1,58,5.3556,512,95.60
baseline,1,59,5.4051,512,94.72
baseline,1,60,5.3314,512,96.04
baseline,1,61,5.3674,512,95.39
baseline,1,62,5.3449,512,95.79
baseline,1,63,5.3433,512,95.82
baseline,1,64,5.3460,512,95.77
baseline,1,65,5.3466,512,95.76
baseline,1,66,5.3469,512,95.76
baseline,1,67,5.3616,512,95.49
baseline,1,68,5.3332,512,96.00
baseline,1,69,5.3453,512,95.79
baseline,1,70,5.3444,512,95.80
baseline,1,71,5.3280,512,96.10
baseline,1,72,5.3314,512,96.04
baseline,1,73,5.3536,512,95.64
baseline,1,74,5.3309,512,96.04
baseline,1,75,5.3522,512,95.66
baseline,1,76,5.3400,512,95.88
baseline,1,77,5.3312,512,96.04
baseline,1,78,5.3288,512,96.08
baseline,1,79,5.3310,512,96.04
