method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
eagle3,2,1,4.6884,1024,218.41
eagle3,2,2,4.3730,1024,234.16
eagle3,2,3,4.8195,1024,212.47
eagle3,2,4,4.3383,1024,236.03
eagle3,2,5,3.7145,1024,275.67
eagle3,2,6,4.8110,1024,212.84
eagle3,2,7,4.3519,1024,235.30
eagle3,2,8,4.6717,1024,219.19
eagle3,2,9,2.3899,1024,428.47
eagle3,2,10,3.7973,1024,269.67
eagle3,2,11,4.0161,1024,254.97
eagle3,2,12,3.4182,1024,299.57
eagle3,2,13,2.6563,1024,385.50
eagle3,2,14,3.9964,1024,256.23
eagle3,2,15,3.9900,1024,256.64
eagle3,2,16,3.9666,1024,258.15
eagle3,2,17,3.8405,1024,266.63
eagle3,2,18,3.9675,1024,258.10
eagle3,2,19,3.5770,1024,286.27
eagle3,2,20,2.9090,1024,352.01
eagle3,2,21,4.2661,1024,240.03
eagle3,2,22,2.5943,1024,394.71
eagle3,2,23,3.4082,1024,300.45
eagle3,2,24,3.7722,1024,271.46
eagle3,2,25,2.9212,894,306.04
eagle3,2,26,4.6823,1024,218.70
eagle3,2,27,4.6330,1024,221.02
eagle3,2,28,3.5251,987,279.99
eagle3,2,29,3.6984,1024,276.87
eagle3,2,30,4.7464,1024,215.74
eagle3,2,31,3.9233,1024,261.00
eagle3,2,32,4.1796,1024,245.00
eagle3,2,33,4.4727,1024,228.95
eagle3,2,34,4.3817,1024,233.70
eagle3,2,35,4.3969,1024,232.89
eagle3,2,36,5.1249,1024,199.81
eagle3,2,37,4.7545,1024,215.37
eagle3,2,38,4.8400,1024,211.57
eagle3,2,39,4.7603,1024,215.11
