method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
ngram,2,1,4.7773,1024,214.35
ngram,2,2,3.3133,1024,309.06
ngram,2,3,5.9663,1024,171.63
ngram,2,4,4.9107,1024,208.53
ngram,2,5,5.9824,1024,171.17
ngram,2,6,6.0324,1024,169.75
ngram,2,7,5.9184,1024,173.02
ngram,2,8,5.7280,1024,178.77
ngram,2,9,2.5601,1024,399.98
ngram,2,10,4.2484,1024,241.03
ngram,2,11,4.4345,1024,230.91
ngram,2,12,4.3052,1024,237.85
ngram,2,13,4.9919,1024,205.13
ngram,2,14,4.7554,1024,215.34
ngram,2,15,4.6370,1024,220.83
ngram,2,16,4.5050,1024,227.30
ngram,2,17,4.7193,1024,216.98
ngram,2,18,4.9817,1024,205.55
ngram,2,19,4.5084,1024,227.13
ngram,2,20,3.0165,1024,339.47
ngram,2,21,5.4125,1024,189.19
ngram,2,22,2.4154,1024,423.95
ngram,2,23,4.9973,1024,204.91
ngram,2,24,4.6328,1024,221.03
ngram,2,25,3.7208,901,242.15
ngram,2,26,5.7932,1024,176.76
ngram,2,27,5.7932,1024,176.76
ngram,2,28,5.4767,1002,182.96
ngram,2,29,4.8527,1024,211.02
ngram,2,30,5.5814,1024,183.47
ngram,2,31,5.4983,1024,186.24
ngram,2,32,5.0235,1024,203.84
ngram,2,33,6.0538,1024,169.15
ngram,2,34,5.5839,1024,183.39
ngram,2,35,5.5685,1024,183.89
ngram,2,36,5.7876,1024,176.93
ngram,2,37,5.6424,1024,181.48
ngram,2,38,5.7597,1024,177.79
ngram,2,39,5.5601,1024,184.17
